NAME,SSN,LANGUAGE,JOB,HEIGHT_M,WEIGHT_KG,fev_pct,dyspnea_description,distance_in_meters,hospital
Peter Blair,042-21-1069,Ewe,Civil Service administrator,1.74,89.03,71.94,BREATHLESS WHEN DRESSING,185.07,ST.LUKE'S
Willie Kirk,736-41-7564,Spanish,Hospital doctor,1.54,92.77,89.76,SLOWER THAN PEERS,350.44,ST.LUKE'S
Michelle Barber,215-89-1731,Tibetan,Agricultural consultant,1.7,79.98,97.57,ONLY STRENUOUS EXERCISE,83.62,ST.LUKE'S
Gabriel Andersen,858-59-4286,Avestan,Research officer government,1.61,102.06,63.28,WHEN HURRYING,171.93,ST.LUKE'S
Leah Rich,843-27-7880,Chichewa,Research scientist (medical),1.75,84.07,56.17,STOPS WHEN WALKING AT PACE,218.1,ST.LUKE'S
Dr. Kimberly Booth DVM,487-70-7527,Lingala,Risk analyst,1.6,116.15,73.09,ONLY STRENUOUS EXERCISE,245.95,BJC WEST COUNTY
Jeremy May,058-31-1647,Bambara,Financial adviser,1.56,82.38,70.14,STOPS AFTER 100 YARDS,123.59,BJC
Elizabeth Ellis,615-48-2431,Ido,Chartered public finance accountant,1.74,95.57,33.85,STOPS AFTER 100 YARDS,217.46,MISSOURI BAPTIST
Michael Harris,453-63-2731,Aragonese,Lexicographer,1.62,82.65,94.23,STOPS AFTER A FEW MINUTES,217.83,BJC WEST COUNTY
David Olsen,847-12-1008,Amharic,Physicist medical,1.62,78.88,69.58,STOPS AFTER 100 YARDS,260.44,BJC WEST COUNTY
Matthew Morgan,651-01-4235,Burmese,Barrister's clerk,1.61,79.72,26.96,STOPS WHEN WALKING AT PACE,133.68,BJC
Shelly Lynch,490-97-8118,Persian,Control and instrumentation engineer,1.77,101.76,44.72,SLOWER THAN PEERS,352.12,BJC WEST COUNTY
Denise Frazier,530-24-2822,Armenian,Counsellor,1.63,114.4,86.61,WALKING UPHILL,259.42,ST.LUKE'S
Michael Nelson,019-83-2798,Panjabi,Engineer manufacturing,1.77,103.07,66.28,STOPS AFTER A FEW MINUTES,34.64,BJC WEST COUNTY
Jerome Newman,089-93-5225,Inupiaq,Research scientist (medical),1.8,112.04,73.12,BREATHLESS WHEN DRESSING,329.76,SAINT LOUIS UNIVERSITY
Carolyn Martinez,017-40-0103,Albanian,Museum/gallery conservator,1.67,90.13,67.23,UNABLE TO LEAVE HOME,199.06,ST.LUKE'S
Megan Miller,641-68-7256,North Ndebele,Amenity horticulturist,1.78,104.96,95.39,SLOWER THAN PEERS,52.42,ST.MARY'S
Mr. James Smith,481-42-6656,Komi,Public affairs consultant,1.72,91.05,40.73,ONLY STRENUOUS EXERCISE,53.08,ST.MARY'S
Kenneth Booth,365-41-9690,Sanskrit,Social researcher,1.64,109.96,47.4,STOPS WHEN WALKING AT PACE,4.01,BJC WEST COUNTY
Jennifer Welch,838-68-0161,Ndonga,Designer graphic,1.62,99.36,70.94,STOPS WHEN WALKING AT PACE,252.07,ST.MARY'S
Zachary Smith,383-37-4541,Korean,Programme researcher broadcasting/film/video,1.62,91.77,56.28,SLOWER THAN PEERS,226.73,SAINT LOUIS UNIVERSITY
Molly Bentley,376-62-8471,Kalaallisut,Publishing copy,1.65,112.64,46.78,STOPS AFTER A FEW MINUTES,172.8,ST.LUKE'S
Cory Davidson,773-70-4116,Akan,Research scientist (life sciences),1.5,82.41,95.12,ONLY STRENUOUS EXERCISE,62.87,MISSOURI BAPTIST
Judith Santana,766-28-7964,Quechua,Armed forces training and education officer,1.74,90.54,53.19,STOPS WHEN WALKING AT PACE,120.28,BJC
Corey Gutierrez,364-90-2447,Arabic,Scientist research (life sciences),1.69,78.62,85.16,STOPS WHEN WALKING AT PACE,258.93,BJC WEST COUNTY
Ryan Hall,020-62-6268,Irish,Insurance risk surveyor,1.63,84.86,57.61,WALKING UPHILL,109.76,ST.LUKE'S
Amanda Cooley,043-52-1845,Javanese,Journalist broadcasting,1.57,110.44,99.74,UNABLE TO LEAVE HOME,137.66,SAINT LOUIS UNIVERSITY
Courtney George,075-45-5737,Herero,Science writer,1.66,112.33,64.56,ONLY STRENUOUS EXERCISE,284.43,MISSOURI BAPTIST
Judy Owens,751-56-3087,Kirghiz,Scientist water quality,1.61,106.41,51.24,ONLY STRENUOUS EXERCISE,212.11,ST.MARY'S
Erin Day,624-35-1967,Fulah,Medical technical officer,1.56,105.84,55.83,WHEN HURRYING,165.74,ST.LUKE'S
Brett Clark,773-97-2185,Yoruba,Magazine journalist,1.55,91.75,62.09,UNABLE TO LEAVE HOME,129.88,BJC WEST COUNTY
Hannah Fisher,305-33-6267,Tagalog,Fashion designer,1.69,101.6,25.71,STOPS AFTER A FEW MINUTES,360.45,BJC
Ms. Shirley Stewart DDS,147-72-2187,Nauru,Chief Strategy Officer,1.75,112.32,37.0,STOPS AFTER A FEW MINUTES,29.79,SAINT LOUIS UNIVERSITY
Grace Chambers,056-29-7845,Vietnamese,Retail buyer,1.78,88.87,51.45,WHEN HURRYING,352.18,BJC WEST COUNTY
Hannah Garcia,622-24-6724,Nepali,Sound technician broadcasting/film/video,1.6,113.75,26.47,STOPS AFTER A FEW MINUTES,373.88,ST.MARY'S
Roger Ramirez,386-41-7430,Chinese,Technical sales engineer,1.65,95.28,35.47,STOPS AFTER 100 YARDS,67.71,BJC
Sandra Frazier,393-85-6709,Albanian,Production designer theatre/television/film,1.62,85.78,41.3,WALKING UPHILL,120.74,ST.LUKE'S
Monique Schmidt,771-38-1756,Turkish,Fast food restaurant manager,1.77,91.17,65.58,STOPS AFTER 100 YARDS,207.68,BJC
Frank Whitaker,532-76-3100,Sindhi,Emergency planning/management officer,1.71,86.18,34.82,BREATHLESS WHEN DRESSING,287.74,ST.LUKE'S
Kyle Castillo,288-14-7402,Guarani,Health service manager,1.63,79.83,31.41,ONLY STRENUOUS EXERCISE,71.95,BJC WEST COUNTY
Kristi Joseph,503-44-6741,Fijian,Armed forces technical officer,1.63,105.23,49.41,ONLY STRENUOUS EXERCISE,373.79,ST.LUKE'S
Jerry Shepard,316-78-8537,Tajik,Engineer control and instrumentation,1.75,80.18,40.77,WALKING UPHILL,280.66,ST.MARY'S
Brittany Garcia,690-01-1374,Fulah,Designer television/film set,1.65,80.79,94.65,ONLY STRENUOUS EXERCISE,366.5,BJC
Jacob Gomez,875-27-8323,Uighur,Oceanographer,1.62,109.75,88.6,UNABLE TO LEAVE HOME,149.4,ST.MARY'S
Elizabeth Brown,183-68-9074,English,Librarian public,1.58,113.71,37.26,SLOWER THAN PEERS,389.94,ST.MARY'S
Kristina Montgomery,017-56-9385,Somali,Automotive engineer,1.62,83.82,48.03,UNABLE TO LEAVE HOME,104.59,ST.LUKE'S
George Nelson,428-94-7639,Cornish,Accountant chartered public finance,1.6,101.06,36.22,WALKING UPHILL,35.97,BJC WEST COUNTY
Kristen Cabrera,243-25-2417,Akan,Furniture conservator/restorer,1.59,111.08,97.51,STOPS AFTER A FEW MINUTES,12.17,ST.MARY'S
Kyle Wright,466-15-2664,Sundanese,Writer,1.58,113.67,30.5,STOPS AFTER A FEW MINUTES,100.05,ST.MARY'S
Daniel Mcbride,043-63-6702,Pushto,Drilling engineer,1.56,88.4,61.46,STOPS AFTER 100 YARDS,137.4,SAINT LOUIS UNIVERSITY
Jesse Ortiz,140-40-6749,North Ndebele,Research officer trade union,1.67,115.93,94.82,STOPS WHEN WALKING AT PACE,170.15,ST.MARY'S
Brandon Phillips,512-85-4797,Welsh,Proofreader,1.59,115.05,57.6,UNABLE TO LEAVE HOME,120.56,BJC
Timothy Rivera,372-68-4467,Vietnamese,Environmental consultant,1.74,88.19,56.07,STOPS AFTER 100 YARDS,206.89,ST.LUKE'S
Wanda Davis,109-45-0445,Esperanto,IT sales professional,1.59,87.51,78.78,WALKING UPHILL,347.14,SAINT LOUIS UNIVERSITY
Alyssa Rodriguez,474-49-3822,Wolof,Editor commissioning,1.71,98.29,86.08,WALKING UPHILL,367.1,BJC WEST COUNTY
Curtis Smith,047-12-9652,Cree,Tax adviser,1.64,83.09,51.22,UNABLE TO LEAVE HOME,3.85,MISSOURI BAPTIST
Laurie Smith,025-13-1695,Limburgan,Occupational therapist,1.52,113.86,81.32,UNABLE TO LEAVE HOME,45.66,SAINT LOUIS UNIVERSITY
Brittany Collier,239-88-0510,Akan,Doctor general practice,1.65,110.47,40.14,BREATHLESS WHEN DRESSING,18.96,SAINT LOUIS UNIVERSITY
Wendy Wright,339-34-8914,Albanian,Printmaker,1.6,82.36,28.48,SLOWER THAN PEERS,399.59,SAINT LOUIS UNIVERSITY
Michelle Carpenter,484-63-5355,Kannada,Psychotherapist,1.6,100.98,37.16,STOPS WHEN WALKING AT PACE,71.29,ST.MARY'S
Ryan Yates,043-82-9036,Chuvash,Theme park manager,1.62,107.34,93.36,STOPS AFTER 100 YARDS,151.95,SAINT LOUIS UNIVERSITY
Dr. Vincent Turner,669-14-6070,Maori,Surveyor commercial/residential,1.59,96.46,73.19,BREATHLESS WHEN DRESSING,174.94,SAINT LOUIS UNIVERSITY
Michael Davis,769-04-9476,Kinyarwanda,Doctor general practice,1.69,100.08,60.35,WHEN HURRYING,331.74,BJC WEST COUNTY
Mr. Tyler Hendrix,117-86-7573,Swedish,Event organiser,1.73,103.82,71.09,WHEN HURRYING,24.36,ST.MARY'S
Regina Clark,795-11-1060,Oriya,Geoscientist,1.73,102.71,57.71,UNABLE TO LEAVE HOME,106.03,ST.MARY'S
Brandon Kelley,005-76-8758,Kalaallisut,Therapist drama,1.57,87.23,62.36,UNABLE TO LEAVE HOME,239.42,ST.MARY'S
Lori Moses,715-34-1060,Chamorro,Health and safety adviser,1.74,90.32,96.19,SLOWER THAN PEERS,117.2,SAINT LOUIS UNIVERSITY
Derek Caldwell,330-20-7009,Malayalam,Scientist clinical (histocompatibility and immunogenetics),1.79,84.99,45.2,ONLY STRENUOUS EXERCISE,309.02,BJC
Cory Pollard,011-36-6905,Hiri Motu,Biomedical scientist,1.62,104.49,28.16,STOPS WHEN WALKING AT PACE,397.36,BJC
Lisa Bauer,092-23-5972,Malay,Personal assistant,1.69,103.73,80.85,ONLY STRENUOUS EXERCISE,263.45,BJC
Amy Nash,306-43-3527,Kirghiz,Scientist audiological,1.8,87.03,71.45,STOPS AFTER 100 YARDS,169.5,BJC WEST COUNTY
Billy Watkins,641-19-3420,Ido,Make,1.69,95.31,94.31,STOPS AFTER 100 YARDS,365.57,ST.LUKE'S
Andrew Flores,799-97-3187,Afrikaans,Media buyer,1.65,103.37,87.89,WHEN HURRYING,154.82,ST.LUKE'S
Collin Clark,893-25-2175,Vietnamese,Engineer energy,1.66,113.1,88.01,WALKING UPHILL,104.71,ST.MARY'S
Lynn Carr,751-78-5700,Swahili,Designer textile,1.56,86.81,87.58,BREATHLESS WHEN DRESSING,31.43,ST.MARY'S
Michael Barnes,412-19-8549,Chamorro,Legal executive,1.58,97.27,62.01,SLOWER THAN PEERS,185.52,BJC WEST COUNTY
Karen Maynard,294-48-0963,Esperanto,Health and safety adviser,1.58,102.63,25.28,UNABLE TO LEAVE HOME,170.84,BJC
Katrina Brown,521-72-2840,Estonian,Public librarian,1.69,112.37,87.46,SLOWER THAN PEERS,338.69,BJC WEST COUNTY
Tiffany Ruiz,664-17-1885,Japanese,Dramatherapist,1.69,106.12,40.54,WALKING UPHILL,234.83,ST.LUKE'S
Sarah Henderson,142-37-8872,Bosnian,Pensions consultant,1.72,109.67,66.61,STOPS AFTER A FEW MINUTES,11.08,ST.MARY'S
Tracy Strong,554-89-4075,Inupiaq,Product manager,1.58,87.71,54.86,STOPS WHEN WALKING AT PACE,387.03,MISSOURI BAPTIST
Melissa Chavez,443-75-8093,Afrikaans,Adult guidance worker,1.71,87.2,40.0,BREATHLESS WHEN DRESSING,129.6,ST.LUKE'S
Vanessa Rose,303-54-3151,Shona,Print production planner,1.6,82.34,52.22,STOPS AFTER 100 YARDS,293.11,BJC
Susan Williams,026-18-5698,Ganda,Ophthalmologist,1.62,79.85,77.79,UNABLE TO LEAVE HOME,148.09,ST.MARY'S
Nicole Morse,311-61-5968,Spanish,Web designer,1.66,78.69,43.2,SLOWER THAN PEERS,160.17,ST.MARY'S
Kristina Moran,879-33-2951,Komi,Insurance underwriter,1.6,87.82,85.4,WHEN HURRYING,179.32,BJC
Michelle Fisher,710-32-7913,Occitan,Data processing manager,1.55,108.64,33.43,STOPS AFTER A FEW MINUTES,38.44,SAINT LOUIS UNIVERSITY
Noah Wilson,085-45-2519,Norwegian,Software engineer,1.51,116.04,79.84,STOPS AFTER 100 YARDS,320.02,ST.LUKE'S
Keith Morton,678-62-6766,Komi,Civil engineer contracting,1.77,114.84,57.43,WHEN HURRYING,123.16,BJC
Darren Calhoun,430-03-4609,Telugu,Patent examiner,1.78,90.95,87.14,SLOWER THAN PEERS,48.52,ST.LUKE'S
Elizabeth Nunez,226-92-2758,Burmese,Contractor,1.65,113.65,97.27,STOPS WHEN WALKING AT PACE,78.53,ST.MARY'S
Patrick Matthews,869-48-2080,Nauru,Designer graphic,1.75,116.39,74.88,WHEN HURRYING,346.94,MISSOURI BAPTIST
Shannon Coleman,188-78-1415,Welsh,Personnel officer,1.53,86.03,32.53,STOPS WHEN WALKING AT PACE,362.53,ST.MARY'S
Elizabeth Graham,269-19-7903,Afrikaans,Financial manager,1.58,78.83,27.55,UNABLE TO LEAVE HOME,277.82,ST.MARY'S
Mary Harmon,053-10-5567,Limburgan,Engineer civil (contracting),1.77,81.51,43.72,WALKING UPHILL,305.95,ST.MARY'S
Scott Morgan,412-98-9118,Maori,Conservation officer historic buildings,1.64,97.0,95.19,STOPS AFTER 100 YARDS,235.06,BJC
Kendra Potter,060-17-7195,Fijian,Best boy,1.59,102.72,42.28,STOPS AFTER 100 YARDS,295.29,BJC
Jennifer Bishop,071-87-0563,Divehi,Loss adjuster chartered,1.71,98.43,28.09,ONLY STRENUOUS EXERCISE,147.61,BJC
Wendy Brooks,403-64-9102,Romansh,Conservation officer historic buildings,1.55,107.94,39.21,SLOWER THAN PEERS,385.73,MISSOURI BAPTIST
Peter Henderson,246-39-3800,Kurdish,Chiropractor,1.76,106.64,91.17,ONLY STRENUOUS EXERCISE,366.69,ST.MARY'S
Danielle Vaughan,157-10-6484,Sinhala,Ship broker,1.66,108.01,78.01,STOPS WHEN WALKING AT PACE,116.65,ST.LUKE'S
Paul Phillips,782-33-3761,Tagalog,Aid worker,1.65,87.32,67.16,BREATHLESS WHEN DRESSING,153.44,ST.LUKE'S
Jessica Ramirez,054-85-3484,Tatar,Immunologist,1.58,116.51,80.84,SLOWER THAN PEERS,323.58,BJC
Colleen Robinson,278-09-7304,Yoruba,Solicitor Scotland,1.61,114.13,70.35,SLOWER THAN PEERS,301.93,SAINT LOUIS UNIVERSITY
Amy Sanchez,125-88-2886,Croatian,Best boy,1.64,110.54,70.34,STOPS AFTER A FEW MINUTES,17.17,ST.MARY'S
Andrew Wilson,438-46-7649,Samoan,Museum/gallery conservator,1.62,81.59,85.96,STOPS AFTER A FEW MINUTES,398.15,MISSOURI BAPTIST
Matthew Collins,779-09-4085,Quechua,Probation officer,1.54,113.03,79.85,STOPS AFTER 100 YARDS,214.77,ST.LUKE'S
Jill Lewis,416-30-6788,Tagalog,Geologist wellsite,1.68,87.81,55.14,STOPS AFTER 100 YARDS,76.82,BJC WEST COUNTY
Kristen Hall,111-68-6611,Malagasy,Warehouse manager,1.54,106.7,48.04,SLOWER THAN PEERS,310.16,ST.MARY'S
Jordan Rivera,432-63-7501,Javanese,Travel agency manager,1.76,105.22,88.87,STOPS AFTER A FEW MINUTES,109.51,BJC WEST COUNTY
Jonathon Anderson,477-58-5267,Greek,Field seismologist,1.51,98.4,76.75,WHEN HURRYING,15.71,SAINT LOUIS UNIVERSITY
Julia Curtis,817-12-3883,Uighur,Editor commissioning,1.7,100.75,80.36,UNABLE TO LEAVE HOME,145.63,SAINT LOUIS UNIVERSITY
David Jones,390-62-9118,Bislama,Secretary company,1.65,96.63,31.12,ONLY STRENUOUS EXERCISE,315.89,BJC
Christopher Bennett,217-69-4432,Tsonga,Primary school teacher,1.54,78.21,49.31,BREATHLESS WHEN DRESSING,307.95,ST.LUKE'S
Anthony Wright,534-09-4199,Norwegian Nynorsk,Human resources officer,1.54,78.93,43.78,UNABLE TO LEAVE HOME,24.68,SAINT LOUIS UNIVERSITY
Christopher Paul,771-34-6721,Fijian,Location manager,1.52,114.98,45.29,STOPS AFTER 100 YARDS,367.97,ST.MARY'S
Justin Davidson,317-40-6002,Indonesian,Aeronautical engineer,1.71,98.68,33.57,SLOWER THAN PEERS,67.95,BJC WEST COUNTY
Dr. Heather Martin,468-54-2229,Vietnamese,Therapist sports,1.78,85.44,58.36,UNABLE TO LEAVE HOME,275.98,BJC
Kristopher Baker,648-42-0426,Herero,Legal executive,1.77,94.33,32.57,WHEN HURRYING,157.77,ST.MARY'S
Katie Johnson,200-18-4587,Ido,Journalist broadcasting,1.64,101.68,82.81,STOPS WHEN WALKING AT PACE,140.35,SAINT LOUIS UNIVERSITY
Christian Bowen,128-05-2583,Akan,Chemical engineer,1.58,101.3,74.96,UNABLE TO LEAVE HOME,38.57,BJC WEST COUNTY
Melissa Carter,410-19-0917,Yiddish,Land,1.77,114.2,87.38,ONLY STRENUOUS EXERCISE,135.88,BJC
Shannon Walker,382-42-5624,Tibetan,Glass blower/designer,1.5,112.75,99.08,ONLY STRENUOUS EXERCISE,150.22,ST.LUKE'S
Amanda Singh,336-09-0821,Wolof,Art therapist,1.59,92.25,76.39,SLOWER THAN PEERS,365.68,BJC
Michael Sanders,001-83-7146,Hiri Motu,Education administrator,1.71,98.05,72.48,BREATHLESS WHEN DRESSING,127.55,ST.MARY'S
Ryan Morris,259-29-1380,Burmese,Chartered legal executive (England and Wales),1.76,111.78,99.54,WALKING UPHILL,266.75,BJC WEST COUNTY
Michael Sanchez,807-45-8892,Kazakh,Designer blown glass/stained glass,1.61,107.74,93.04,ONLY STRENUOUS EXERCISE,341.31,BJC
Erin Stevens,365-22-3684,Afar,Records manager,1.69,85.79,70.79,SLOWER THAN PEERS,83.72,ST.MARY'S
Kyle Pierce,644-74-2251,Czech,Scientist research (medical),1.53,97.74,50.85,STOPS AFTER A FEW MINUTES,395.95,BJC WEST COUNTY
Christy Collins,309-92-5189,Sundanese,Engineer maintenance (IT),1.52,99.86,52.46,STOPS AFTER A FEW MINUTES,350.9,ST.MARY'S
Jessica Doyle,603-59-3415,Luba-Katanga,Conservator furniture,1.72,108.74,52.96,WHEN HURRYING,260.21,BJC
Jessica Johnson,061-81-9380,Xhosa,Environmental manager,1.64,100.94,32.7,BREATHLESS WHEN DRESSING,188.37,ST.MARY'S
Cheryl Matthews,514-83-1154,Malagasy,Dealer,1.51,90.08,49.59,BREATHLESS WHEN DRESSING,363.06,MISSOURI BAPTIST
Molly Chen,061-14-5132,Sango,Geologist wellsite,1.61,105.39,26.72,WHEN HURRYING,229.73,BJC WEST COUNTY
Kyle Price,745-51-7666,Azerbaijani,Psychologist educational,1.76,116.74,70.22,BREATHLESS WHEN DRESSING,244.76,ST.LUKE'S
Christopher Stevens,745-18-5003,Kazakh,Geologist engineering,1.58,94.56,74.33,WHEN HURRYING,243.44,ST.LUKE'S
Traci Love,023-27-9127,Walloon,Agricultural engineer,1.52,80.72,71.67,WALKING UPHILL,399.6,ST.MARY'S
Heidi Haynes,528-82-5419,Haitian,Public relations account executive,1.51,85.57,43.2,UNABLE TO LEAVE HOME,394.37,SAINT LOUIS UNIVERSITY
Sean Parker,494-87-4401,Oriya,Metallurgist,1.52,78.99,76.4,STOPS AFTER 100 YARDS,294.94,BJC
Timothy Smith,626-84-6333,Macedonian,Higher education careers adviser,1.69,91.66,99.31,BREATHLESS WHEN DRESSING,31.5,MISSOURI BAPTIST
Austin Boone,225-07-2409,Kuanyama,Geophysical data processor,1.55,98.43,79.23,WHEN HURRYING,130.22,BJC
Todd Walls,292-92-0329,Breton,Physicist medical,1.53,90.45,61.37,STOPS AFTER A FEW MINUTES,263.3,BJC
Richard Davis,812-23-9710,Turkish,Museum/gallery exhibitions officer,1.52,100.75,99.43,SLOWER THAN PEERS,41.21,BJC WEST COUNTY
Erin Turner,467-10-6977,Swedish,Newspaper journalist,1.59,89.59,99.86,STOPS AFTER 100 YARDS,61.22,SAINT LOUIS UNIVERSITY
Matthew Riley,776-78-9384,Persian,Learning mentor,1.52,92.14,38.47,BREATHLESS WHEN DRESSING,363.23,ST.LUKE'S
Mark Cardenas,053-20-0741,Interlingua,Ranger/warden,1.6,102.61,30.63,STOPS WHEN WALKING AT PACE,226.6,ST.MARY'S
Tiffany Mcdonald,693-27-4150,Spanish,Herpetologist,1.59,83.76,29.07,STOPS WHEN WALKING AT PACE,176.43,BJC WEST COUNTY
Mrs. Stephanie Hebert PhD,418-58-3740,Slovenian,Comptroller,1.72,116.01,61.67,STOPS AFTER 100 YARDS,6.32,BJC WEST COUNTY
Amy Hernandez,498-60-1167,Telugu,Health service manager,1.6,107.76,97.95,STOPS AFTER 100 YARDS,199.91,SAINT LOUIS UNIVERSITY
Bethany Molina,773-81-3991,Xhosa,Fashion designer,1.71,80.36,60.43,STOPS AFTER A FEW MINUTES,154.12,BJC
Connor Patterson,313-83-7034,Bambara,Therapist horticultural,1.6,86.3,42.79,WALKING UPHILL,44.12,MISSOURI BAPTIST
James Brown,717-32-7394,Nauru,Company secretary,1.64,79.61,64.26,WHEN HURRYING,39.94,ST.MARY'S
Alexander Cunningham,455-39-1262,Cornish,Arboriculturist,1.77,98.48,43.28,SLOWER THAN PEERS,329.19,BJC
Kathleen Fernandez,739-48-0382,Javanese,Designer textile,1.53,105.38,58.34,UNABLE TO LEAVE HOME,123.29,MISSOURI BAPTIST
Joe Arnold,772-89-0734,Inupiaq,Multimedia specialist,1.54,79.5,90.8,BREATHLESS WHEN DRESSING,273.69,BJC
Michael Thomas,476-73-2278,English,Actor,1.58,115.4,97.14,UNABLE TO LEAVE HOME,355.9,MISSOURI BAPTIST
Catherine Hampton,735-56-7145,Malagasy,Chief of Staff,1.76,96.39,41.82,ONLY STRENUOUS EXERCISE,368.72,MISSOURI BAPTIST
Stephen Palmer,271-89-6217,Slovenian,Immunologist,1.69,112.04,34.56,WALKING UPHILL,286.8,ST.MARY'S
Dennis Edwards DDS,861-15-3287,Bislama,Therapist sports,1.55,109.47,33.69,WHEN HURRYING,67.9,MISSOURI BAPTIST
Tiffany Flores,697-57-1350,Sanskrit,Social researcher,1.78,96.58,71.64,SLOWER THAN PEERS,138.89,ST.LUKE'S
Leslie Stewart,067-47-2180,Vietnamese,Professor Emeritus,1.55,81.21,53.12,WALKING UPHILL,63.89,BJC
Keith Caldwell,013-79-3577,Turkmen,Passenger transport manager,1.55,99.94,76.97,WHEN HURRYING,279.52,BJC
Andrew Crosby,433-30-0301,Ewe,Physiological scientist,1.62,94.67,68.02,SLOWER THAN PEERS,117.4,BJC
John Alvarez,227-30-3073,Oromo,Academic librarian,1.75,85.63,33.71,STOPS AFTER 100 YARDS,130.8,SAINT LOUIS UNIVERSITY
Rachel Shannon,745-74-5967,Norwegian Nynorsk,Medical illustrator,1.62,97.22,35.21,STOPS AFTER A FEW MINUTES,169.27,BJC WEST COUNTY
Joanna Richardson DDS,794-95-8658,Kinyarwanda,Research scientist (physical sciences),1.58,95.07,55.56,STOPS WHEN WALKING AT PACE,17.81,MISSOURI BAPTIST
Eric Watson,507-64-6094,Icelandic,Ceramics designer,1.57,87.76,27.82,SLOWER THAN PEERS,397.18,BJC WEST COUNTY
Justin Lynch,052-02-3223,Bosnian,Copywriter advertising,1.55,116.22,94.98,STOPS AFTER A FEW MINUTES,305.94,BJC
Cynthia Jones,104-35-1166,Shona,Teacher English as a foreign language,1.5,95.93,47.61,UNABLE TO LEAVE HOME,380.65,MISSOURI BAPTIST
Gary Cobb,331-08-8193,Ewe,Designer blown glass/stained glass,1.54,111.4,92.11,STOPS AFTER 100 YARDS,337.36,ST.LUKE'S
Daniel Potter,352-22-0218,Yiddish,IT consultant,1.75,105.88,93.54,UNABLE TO LEAVE HOME,162.21,ST.LUKE'S
Laurie Brady,749-01-9129,Spanish,Advertising account executive,1.64,112.36,95.79,STOPS WHEN WALKING AT PACE,44.12,MISSOURI BAPTIST
Kellie Lane MD,115-28-9541,Chichewa,Games developer,1.64,90.17,57.64,UNABLE TO LEAVE HOME,230.22,BJC
Sandra Bell,520-07-6831,Chichewa,Charity officer,1.67,108.12,41.69,UNABLE TO LEAVE HOME,39.83,BJC
Sarah Edwards,834-85-0034,Mongolian,Psychotherapist child,1.76,110.53,94.68,UNABLE TO LEAVE HOME,154.37,ST.MARY'S
Amanda Knight,058-36-1489,Romanian,Engineer electrical,1.6,88.15,49.6,UNABLE TO LEAVE HOME,335.45,ST.LUKE'S
William Nelson,566-94-7889,Haitian,Petroleum engineer,1.54,89.81,69.23,STOPS WHEN WALKING AT PACE,286.86,ST.MARY'S
Ashley Bernard,393-13-5795,Kanuri,Contracting civil engineer,1.69,91.47,42.03,STOPS AFTER 100 YARDS,267.28,BJC
Selena Taylor,799-94-7849,Somali,Aeronautical engineer,1.69,79.08,52.76,STOPS AFTER A FEW MINUTES,17.03,BJC
Linda Franco,090-29-3043,Serbian,Conservation officer historic buildings,1.76,102.42,47.86,ONLY STRENUOUS EXERCISE,396.32,BJC
Charles Ramos,668-43-7628,Church Slavic,Chartered accountant,1.71,115.71,38.6,WHEN HURRYING,209.82,ST.LUKE'S
Anthony Smith,024-12-2924,Thai,IT sales professional,1.51,80.91,71.71,WHEN HURRYING,239.63,ST.LUKE'S
Andrew Cox,197-21-4445,Macedonian,Dietitian,1.56,100.05,61.28,WALKING UPHILL,56.9,BJC WEST COUNTY
Danielle Clayton,597-47-2274,Haitian,General practice doctor,1.51,107.26,51.32,ONLY STRENUOUS EXERCISE,177.42,BJC WEST COUNTY
Michael Wilcox,528-52-0413,Divehi,Film/video editor,1.79,99.28,49.52,WHEN HURRYING,392.21,BJC WEST COUNTY
Wendy Dunn,214-78-4911,Georgian,Legal executive,1.55,98.08,59.83,STOPS AFTER A FEW MINUTES,306.28,ST.LUKE'S
Robert Maynard,428-80-1065,Slovenian,Risk analyst,1.71,85.32,38.36,ONLY STRENUOUS EXERCISE,5.28,SAINT LOUIS UNIVERSITY
William Kaiser,762-97-3821,Arabic,Cabin crew,1.74,96.56,42.07,STOPS AFTER 100 YARDS,109.52,ST.LUKE'S
Erin Mejia,792-98-3199,Romansh,Designer blown glass/stained glass,1.74,88.42,47.19,STOPS WHEN WALKING AT PACE,61.6,ST.MARY'S
Kenneth Jones,115-68-5905,Ido,Designer multimedia,1.68,105.45,62.33,STOPS WHEN WALKING AT PACE,129.11,ST.LUKE'S
Janet Brown,802-05-9635,Bihari languages,Civil Service administrator,1.51,97.16,91.11,SLOWER THAN PEERS,80.58,BJC WEST COUNTY
Hunter Fuentes,389-40-1639,Bambara,Tour manager,1.65,109.14,29.33,WALKING UPHILL,363.68,SAINT LOUIS UNIVERSITY
William Arellano,809-03-5484,Samoan,Police officer,1.64,99.22,53.02,STOPS AFTER A FEW MINUTES,286.32,BJC WEST COUNTY
Cory Bowers,348-92-0777,Inuktitut,Archivist,1.67,101.77,67.76,STOPS AFTER 100 YARDS,82.09,ST.MARY'S
Luke Price,874-29-4043,Tajik,Radiation protection practitioner,1.73,112.27,50.45,WALKING UPHILL,110.74,BJC WEST COUNTY
Cindy Rodgers,392-99-9233,Hebrew,Engineering geologist,1.78,81.59,56.62,UNABLE TO LEAVE HOME,130.26,ST.MARY'S
Robert Tran,683-42-6748,Galician,Environmental consultant,1.73,89.47,91.1,WALKING UPHILL,204.15,ST.LUKE'S
